"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"NR4A3" 0 1.48880209626623 0.607 0.234 0 "0" "NR4A3"
"SLC40A1" 0 1.40069567298396 0.811 0.271 0 "0" "SLC40A1"
"SELENOP" 0 1.34314315818331 0.94 0.582 0 "0" "SELENOP"
"NR4A2" 0 1.34147120642573 0.847 0.444 0 "0" "NR4A2"
"MS4A7" 0 1.29695928705607 0.966 0.616 0 "0" "MS4A7"
"ARL4C" 0 1.29669149955488 0.865 0.379 0 "0" "ARL4C"
"IER3" 0 1.23858303295274 0.941 0.692 0 "0" "IER3"
"CCL4L2" 0 1.2318480080854 0.755 0.482 0 "0" "CCL4L2"
"MAF" 0 1.22800755144156 0.851 0.359 0 "0" "MAF"
"IL10" 0 1.22114577699015 0.456 0.133 0 "0" "IL10"
"CCL4" 0 1.20820991792014 0.798 0.559 0 "0" "CCL4"
"LGMN" 0 1.15631609827636 0.958 0.569 0 "0" "LGMN"
"FOSB" 0 1.15592388794719 0.942 0.538 0 "0" "FOSB"
"DUSP2" 0 1.11551016366972 0.719 0.35 0 "0" "DUSP2"
"CD83" 0 1.09346339578869 0.859 0.484 0 "0" "CD83"
"MRC1" 0 1.08220867562138 0.771 0.316 0 "0" "MRC1"
"ZNF331" 0 1.07292407071817 0.677 0.277 0 "0" "ZNF331"
"TNF" 0 1.05432755675654 0.473 0.216 0 "0" "TNF"
"ABL2" 0 1.04252578871042 0.563 0.208 0 "0" "ABL2"
"TNFAIP3" 0 1.04079291365231 0.703 0.39 0 "0" "TNFAIP3"
"STAB1" 0 1.0371985334435 0.922 0.491 0 "0" "STAB1"
"CD81" 0 1.0350845576346 0.964 0.57 0 "0" "CD81"
"GPR183" 0 0.994867188403911 0.809 0.489 0 "0" "GPR183"
"APOE" 0 0.992838102473982 0.949 0.772 0 "0" "APOE"
"EGR2" 0 0.987971894954517 0.418 0.135 0 "0" "EGR2"
"HBEGF" 0 0.985874913137778 0.61 0.253 0 "0" "HBEGF"
"BTG2" 0 0.983836341705777 0.783 0.342 0 "0" "BTG2"
"CREM" 0 0.98185736667982 0.754 0.371 0 "0" "CREM"
"PLAU" 0 0.981009761329402 0.672 0.299 0 "0" "PLAU"
"A2M" 0 0.977419745770451 0.91 0.435 0 "0" "A2M"
"C1QB" 0 0.968587569736071 0.986 0.712 0 "0" "C1QB"
"NR4A1" 0 0.956097916257064 0.79 0.374 0 "0" "NR4A1"
"MAFF" 0 0.952959115412673 0.574 0.21 0 "0" "MAFF"
"DAB2" 0 0.951964971007513 0.927 0.532 0 "0" "DAB2"
"KDM6B" 0 0.950220615965175 0.687 0.297 0 "0" "KDM6B"
"SLCO2B1" 0 0.949912910293747 0.844 0.321 0 "0" "SLCO2B1"
"JUNB" 0 0.948603717515948 0.972 0.722 0 "0" "JUNB"
"ICAM1" 0 0.946201776065886 0.67 0.313 0 "0" "ICAM1"
"SOD2" 0 0.939138062919552 0.92 0.53 0 "0" "SOD2"
"ZFP36" 0 0.93588204779429 0.926 0.585 0 "0" "ZFP36"
"CCL3L1" 0 0.909500676912131 0.819 0.574 0 "0" "CCL3L1"
"F13A1" 0 0.896021731225377 0.54 0.256 0 "0" "F13A1"
"LILRB5" 0 0.892599713547553 0.535 0.1 0 "0" "LILRB5"
"PRDM1" 0 0.877708694276039 0.569 0.23 0 "0" "PRDM1"
"PLA2G7" 0 0.873584221174345 0.559 0.192 0 "0" "PLA2G7"
"MERTK" 0 0.872609992844574 0.633 0.16 0 "0" "MERTK"
"IL1B" 0 0.868970762944135 0.692 0.401 0 "0" "IL1B"
"HLA-DQA2" 0 0.861847640278615 0.667 0.183 0 "0" "HLA-DQA2"
"TIMP2" 0 0.829649892927993 0.931 0.51 0 "0" "TIMP2"
"CCL3" 0 0.825306026408839 0.898 0.688 0 "0" "CCL3"
"SLC16A10" 0 0.824849982659419 0.508 0.228 0 "0" "SLC16A10"
"NEAT1" 0 0.823305181473624 0.992 0.844 0 "0" "NEAT1"
"RCAN1" 0 0.81844716493486 0.315 0.134 0 "0" "RCAN1"
"HERPUD1" 0 0.816585724127966 0.882 0.498 0 "0" "HERPUD1"
"CD163" 0 0.805766930838075 0.886 0.436 0 "0" "CD163"
"C5AR1" 0 0.789477048614673 0.808 0.354 0 "0" "C5AR1"
"SDS" 0 0.789395937585246 0.432 0.161 0 "0" "SDS"
"CFLAR" 0 0.788325163383543 0.741 0.374 0 "0" "CFLAR"
"FCGRT" 0 0.781167474062848 0.986 0.783 0 "0" "FCGRT"
"SOCS3" 0 0.773985956419591 0.645 0.327 0 "0" "SOCS3"
"FCGR2A" 0 0.770889742602832 0.953 0.619 0 "0" "FCGR2A"
"LCP2" 0 0.769612420344529 0.678 0.299 0 "0" "LCP2"
"CTSC" 0 0.765349034358302 0.943 0.613 0 "0" "CTSC"
"CYBB" 0 0.756447854197084 0.864 0.463 0 "0" "CYBB"
"NAMPT" 0 0.75575121341161 0.9 0.51 0 "0" "NAMPT"
"THBD" 0 0.755164928919811 0.453 0.213 0 "0" "THBD"
"ADAP2" 0 0.751997983676709 0.852 0.388 0 "0" "ADAP2"
"C1QA" 0 0.750979092312577 0.99 0.77 0 "0" "C1QA"
"NFKBIZ" 0 0.750442386844836 0.684 0.332 0 "0" "NFKBIZ"
"C1QC" 0 0.746182496220062 0.982 0.688 0 "0" "C1QC"
"PLEK" 0 0.744151393495487 0.838 0.479 0 "0" "PLEK"
"DDX3Y" 0 0.743580730386494 0.565 0.185 0 "0" "DDX3Y"
"CEBPB" 0 0.738086431387482 0.899 0.525 0 "0" "CEBPB"
"KLF2" 0 0.737061837181384 0.642 0.3 0 "0" "KLF2"
"NFKBID" 0 0.737006053713405 0.578 0.213 0 "0" "NFKBID"
"REL" 0 0.73652715688715 0.767 0.372 0 "0" "REL"
"ATF3" 0 0.730944295788214 0.788 0.397 0 "0" "ATF3"
"EGR1" 0 0.727912102266022 0.742 0.415 0 "0" "EGR1"
"FGL2" 0 0.722248124432901 0.812 0.378 0 "0" "FGL2"
"MS4A4A" 0 0.72081490457554 0.877 0.458 0 "0" "MS4A4A"
"LITAF" 0 0.720232056273936 0.871 0.523 0 "0" "LITAF"
"TTYH3" 0 0.716383569332174 0.714 0.274 0 "0" "TTYH3"
"CD209" 0 0.711482218608738 0.433 0.092 0 "0" "CD209"
"CTSZ" 0 0.710486415353318 0.978 0.751 0 "0" "CTSZ"
"CHMP1B" 0 0.71030203665432 0.704 0.394 0 "0" "CHMP1B"
"CD93" 0 0.70925472337204 0.667 0.327 0 "0" "CD93"
"CYB5D1" 0 0.704634760664924 0.37 0.111 0 "0" "CYB5D1"
"MMP19" 0 0.689046674155089 0.37 0.16 0 "0" "MMP19"
"JUND" 0 0.687746179587081 0.971 0.56 0 "0" "JUND"
"LIPA" 0 0.676193340927394 0.825 0.387 0 "0" "LIPA"
"GNA13" 0 0.674672745279409 0.659 0.276 0 "0" "GNA13"
"QKI" 0 0.670921945799814 0.801 0.378 0 "0" "QKI"
"HIF1A" 0 0.664943919374156 0.817 0.445 0 "0" "HIF1A"
"RANBP2" 0 0.662315776123335 0.589 0.246 0 "0" "RANBP2"
"BAG3" 0 0.660972592348883 0.414 0.17 0 "0" "BAG3"
"HSPH1" 0 0.660839371325833 0.812 0.483 0 "0" "HSPH1"
"RHOB" 0 0.659108045404714 0.811 0.466 0 "0" "RHOB"
"MARCKS" 0 0.657965031132993 0.976 0.722 0 "0" "MARCKS"
"HSPA1A" 0 0.655458336689916 0.966 0.856 0 "0" "HSPA1A"
"ABCA1" 0 0.655181126352558 0.684 0.273 0 "0" "ABCA1"
"SNX6" 0 0.651791975597531 0.883 0.496 0 "0" "SNX6"
"KCTD12" 0 0.649110216281608 0.809 0.444 0 "0" "KCTD12"
"MPEG1" 0 0.646369222070823 0.773 0.367 0 "0" "MPEG1"
"NRP1" 0 0.64571099021911 0.711 0.284 0 "0" "NRP1"
"NFE2L2" 0 0.645013450272217 0.774 0.396 0 "0" "NFE2L2"
"IER5" 0 0.644453377430933 0.797 0.491 0 "0" "IER5"
"MAT2A" 0 0.643138464075553 0.64 0.283 0 "0" "MAT2A"
"DUSP1" 0 0.642547532449131 0.984 0.779 0 "0" "DUSP1"
"EGR3" 0 0.637657799337251 0.308 0.088 0 "0" "EGR3"
"SPRED1" 0 0.63662637529122 0.576 0.209 0 "0" "SPRED1"
"CSRNP1" 0 0.631093906889101 0.55 0.223 0 "0" "CSRNP1"
"PNRC1" 0 0.628266942172568 0.907 0.596 0 "0" "PNRC1"
"SGK1" 0 0.62667903438188 0.873 0.531 0 "0" "SGK1"
"BMP2K" 0 0.625036386488362 0.706 0.296 0 "0" "BMP2K"
"NFKB1" 0 0.623994945579307 0.508 0.23 0 "0" "NFKB1"
"FPR3" 0 0.622709478835086 0.774 0.335 0 "0" "FPR3"
"SH2B3" 0 0.622404310064265 0.599 0.235 0 "0" "SH2B3"
"DNAJB6" 0 0.619645673505311 0.808 0.452 0 "0" "DNAJB6"
"SCARB2" 0 0.619165988554524 0.73 0.298 0 "0" "SCARB2"
"BHLHE40" 0 0.617577488849824 0.573 0.246 0 "0" "BHLHE40"
"CD4" 0 0.616531867908422 0.822 0.405 0 "0" "CD4"
"GNAS" 0 0.61549375681692 0.973 0.661 0 "0" "GNAS"
"SERPINB9" 0 0.614139837184591 0.541 0.22 0 "0" "SERPINB9"
"TIPARP" 0 0.612239820338164 0.468 0.178 0 "0" "TIPARP"
"COLEC12" 0 0.609045639722507 0.549 0.207 0 "0" "COLEC12"
"MSR1" 0 0.608246022206632 0.894 0.461 0 "0" "MSR1"
"HLA-E" 0 0.607775382745999 0.968 0.725 0 "0" "HLA-E"
"FOLR2" 0 0.606631894380405 0.873 0.452 0 "0" "FOLR2"
"ZFP36L1" 0 0.605826792714018 0.943 0.724 0 "0" "ZFP36L1"
"CDKN1A" 0 0.604575056485821 0.662 0.319 0 "0" "CDKN1A"
"GADD45B" 0 0.602403911004279 0.953 0.698 0 "0" "GADD45B"
"PLD3" 0 0.599220430962194 0.931 0.583 0 "0" "PLD3"
"MCL1" 0 0.599107691909825 0.888 0.526 0 "0" "MCL1"
"CTSD" 0 0.598286619180392 0.988 0.828 0 "0" "CTSD"
"MT-ND1" 0 0.594030513941638 0.998 0.935 0 "0" "MT-ND1"
"TAGAP" 0 0.591205163091657 0.471 0.167 0 "0" "TAGAP"
"OGFRL1" 0 0.589790583069633 0.697 0.317 0 "0" "OGFRL1"
"OTUD1" 0 0.589675313414951 0.612 0.298 0 "0" "OTUD1"
"LRP1" 0 0.586698775372317 0.786 0.357 0 "0" "LRP1"
"C2" 0 0.585149411660368 0.615 0.219 0 "0" "C2"
"WWP1" 0 0.581020863009392 0.439 0.115 0 "0" "WWP1"
"LACC1" 0 0.578418696449895 0.431 0.117 0 "0" "LACC1"
"IGF1" 0 0.577907380285348 0.495 0.125 0 "0" "IGF1"
"CLTC" 0 0.57513601649176 0.726 0.339 0 "0" "CLTC"
"SASH1" 0 0.573522832773427 0.43 0.1 0 "0" "SASH1"
"AP1B1" 0 0.571380639889351 0.703 0.284 0 "0" "AP1B1"
"GAS6" 0 0.570026738983829 0.598 0.201 0 "0" "GAS6"
"FCHO2" 0 0.568613865202227 0.552 0.171 0 "0" "FCHO2"
"RALGDS" 0 0.568405682830454 0.449 0.152 0 "0" "RALGDS"
"PHLDA1" 0 0.568045141497843 0.535 0.245 0 "0" "PHLDA1"
"NFKBIA" 0 0.558800620192243 0.951 0.763 0 "0" "NFKBIA"
"TNFAIP2" 0 0.558069616906919 0.662 0.279 0 "0" "TNFAIP2"
"IER5L" 0 0.557914941716028 0.457 0.191 0 "0" "IER5L"
"PFKFB3" 0 0.557230541655534 0.483 0.195 0 "0" "PFKFB3"
"CYFIP1" 0 0.55718383135298 0.675 0.27 0 "0" "CYFIP1"
"ARHGAP18" 0 0.556270892170562 0.831 0.42 0 "0" "ARHGAP18"
"NABP1" 0 0.556227454159486 0.633 0.272 0 "0" "NABP1"
"PPP1R15A" 0 0.556178891631684 0.901 0.588 0 "0" "PPP1R15A"
"PXDC1" 0 0.553964960138211 0.426 0.128 0 "0" "PXDC1"
"KLF6" 0 0.55377207278915 0.942 0.697 0 "0" "KLF6"
"PDGFB" 0 0.552997711309472 0.297 0.059 0 "0" "PDGFB"
"CTSB" 0 0.550033253906562 0.994 0.861 0 "0" "CTSB"
"MYO5A" 0 0.548965261961161 0.542 0.182 0 "0" "MYO5A"
"MIDN" 0 0.546151874886978 0.613 0.295 0 "0" "MIDN"
"IL18" 0 0.545356713090166 0.657 0.289 0 "0" "IL18"
"APOC1" 0 0.54305591360545 0.852 0.625 0 "0" "APOC1"
"ZFHX3" 0 0.542945327073989 0.607 0.241 0 "0" "ZFHX3"
"ANKH" 0 0.542866879629152 0.64 0.285 0 "0" "ANKH"
"DNAJA4" 0 0.54244674783856 0.381 0.14 0 "0" "DNAJA4"
"AP2A2" 0 0.541357378931101 0.613 0.225 0 "0" "AP2A2"
"SLC7A8" 0 0.538973899413599 0.481 0.13 0 "0" "SLC7A8"
"PDK4" 0 0.538476748914252 0.362 0.105 0 "0" "PDK4"
"INSIG1" 0 0.535282061521219 0.517 0.268 0 "0" "INSIG1"
"C3AR1" 0 0.534894870643734 0.766 0.34 0 "0" "C3AR1"
"SIRPA" 0 0.532895769704738 0.694 0.299 0 "0" "SIRPA"
"MS4A6A" 0 0.532450097250671 0.953 0.637 0 "0" "MS4A6A"
"GBP1" 0 0.532209050423468 0.311 0.136 0 "0" "GBP1"
"RASGEF1B" 0 0.531734011111255 0.605 0.261 0 "0" "RASGEF1B"
"RPS4Y1" 0 0.529001867566108 0.731 0.291 0 "0" "RPS4Y1"
"PLXDC2" 0 0.52641457355442 0.708 0.317 0 "0" "PLXDC2"
"CPEB4" 0 0.525823204565581 0.552 0.223 0 "0" "CPEB4"
