"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"NEAT1" 0 1.35331532833372 0.738 0.749 0 "0" "NEAT1"
"LENG8" 0 1.26391417971597 0.305 0.162 0 "0" "LENG8"
"MT1X" 0 1.25566530803559 0.73 0.503 0 "0" "MT1X"
"MT2A" 0 1.22671661382482 0.827 0.612 0 "0" "MT2A"
"SERPINA1" 0 1.1892394472994 0.311 0.12 0 "0" "SERPINA1"
"GADD45B" 0 1.16242397910616 0.647 0.677 0 "0" "GADD45B"
"MALAT1" 0 1.14528113150368 0.986 0.996 0 "0" "MALAT1"
"IER2" 0 1.1212159894362 0.666 0.664 0 "0" "IER2"
"MT1G" 0 1.0788584871252 0.396 0.232 0 "0" "MT1G"
"JUNB" 0 0.965638310381123 0.678 0.62 0 "0" "JUNB"
"MT-ND3" 0 0.85336251422012 0.902 0.958 0 "0" "MT-ND3"
"MT1E" 0 0.844577157345485 0.473 0.341 0 "0" "MT1E"
"MT-CO1" 0 0.843768845539156 0.971 0.992 0 "0" "MT-CO1"
"MT-ND1" 0 0.835298535905686 0.89 0.97 0 "0" "MT-ND1"
"MT-ND2" 0 0.765435406272025 0.898 0.974 0 "0" "MT-ND2"
"RPL37A" 0 0.765110290543428 0.971 0.983 0 "0" "RPL37A"
"RPS4Y1" 0 0.749486141145274 0.398 0.211 0 "0" "RPS4Y1"
"PRDX2" 0 0.743596761906322 0.58 0.472 0 "0" "PRDX2"
"RPL31" 0 0.657278640125833 0.914 0.927 0 "0" "RPL31"
"RPL38" 0 0.547056175047451 0.878 0.941 0 "0" "RPL38"
"S100A6" 0 0.529423152555522 0.926 0.94 0 "0" "S100A6"
"RPLP2" 0 0.518899629097485 0.962 0.987 0 "0" "RPLP2"
"RPL36" 0 0.452621002785327 0.956 0.973 0 "0" "RPL36"
"RPL23A" 0 0.441162338318834 0.95 0.975 0 "0" "RPL23A"
"RPL37" 0 0.396609940731154 0.965 0.982 0 "0" "RPL37"
"RPS28" 0 0.38288135135343 0.969 0.984 0 "0" "RPS28"
"RPL35A" 0 0.315938388614908 0.963 0.98 0 "0" "RPL35A"
"RPL13" 0 0.291112163153897 0.995 0.996 0 "0" "RPL13"
"RPL36A" 2.67155922966e-297 0.540822203665649 0.8 0.872 6.25118144148143e-293 "0" "RPL36A"
"RPL21" 3.39140395361153e-294 0.319236163096136 0.974 0.988 7.93554611105561e-290 "0" "RPL21"
"COX7C" 2.86883331737289e-287 0.489796730664865 0.794 0.876 6.71278307932084e-283 "0" "COX7C"
"RPS27" 1.14074217202649e-274 0.259371523051164 0.983 0.993 2.66922260832478e-270 "0" "RPS27"
"RPL28" 3.33827471670339e-274 0.276852485519728 0.981 0.989 7.81122900961427e-270 "0" "RPL28"
"ACAN" 9.83715113370516e-262 1.18704026477342 0.316 0.214 2.30179499377567e-257 "0" "ACAN"
"MT-CO3" 4.95374433176175e-254 0.596147145573349 0.976 0.993 1.15912663618893e-249 "0" "MT-CO3"
