"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"SPP1" 0 0.801869767158138 0.999 0.971 0 "0" "SPP1"
"ATP6V0B" 0 0.734441885621438 0.993 0.871 0 "0" "ATP6V0B"
"GLRX" 0 0.707671822445373 0.967 0.662 0 "0" "GLRX"
"ATP6V1G1" 0 0.690766858724414 0.999 0.903 0 "0" "ATP6V1G1"
"TM4SF19" 0 0.673857927026103 0.747 0.306 0 "0" "TM4SF19"
"MRPS6" 0 0.652871189494446 0.84 0.413 0 "0" "MRPS6"
"SPHK1" 0 0.557046526406712 0.791 0.332 0 "0" "SPHK1"
"PTPN1" 0 0.509822673443659 0.74 0.282 0 "0" "PTPN1"
"HYAL1" 2.08938668633836e-305 0.439543970374447 0.583 0.183 4.88895590736314e-301 "0" "HYAL1"
"CALM1" 1.04229432833566e-304 0.622304312889013 0.994 0.842 2.43886449887261e-300 "0" "CALM1"
"TM4SF1" 1.33458851518935e-297 0.638862640601855 0.508 0.143 3.12280366669156e-293 "0" "TM4SF1"
"PGAM1" 1.21149005885533e-293 0.691889802523179 0.954 0.641 2.83476558871558e-289 "0" "PGAM1"
"STRADB" 6.63033147395496e-292 0.431007641174237 0.797 0.347 1.55143126159072e-287 "0" "STRADB"
"ATP6V0E1" 1.20226230388528e-290 0.589958844876844 1 0.934 2.81317356486116e-286 "0" "ATP6V0E1"
"ORAI1" 2.47970250881239e-290 0.454074087948589 0.775 0.336 5.80225590037012e-286 "0" "ORAI1"
"THOP1" 4.15991965736689e-290 0.756668686470755 0.857 0.467 9.73379600627278e-286 "0" "THOP1"
"ATP6V1E1" 2.9795216346266e-288 0.679280102005632 0.971 0.695 6.97178267286279e-284 "0" "ATP6V1E1"
"CAP1" 1.34779250380397e-276 0.56784070830523 0.953 0.621 3.1536996796509e-272 "0" "CAP1"
"RCAN1" 2.18414539323511e-273 0.594730271705542 0.673 0.263 5.11068180563084e-269 "0" "RCAN1"
"TUBB6" 2.09830768023336e-270 0.473152931848205 0.699 0.289 4.90983014097803e-266 "0" "TUBB6"
"PSMD14" 4.09829951639277e-267 0.510501088842433 0.811 0.403 9.58961103840745e-263 "0" "PSMD14"
"DHCR24" 5.18230158960719e-265 0.405204901210599 0.54 0.171 1.21260674895219e-260 "0" "DHCR24"
"MAP2K3" 1.13583870702377e-264 0.440117980909249 0.836 0.401 2.65774899056492e-260 "0" "MAP2K3"
