"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"IL7R" 0 1.80638314629481 0.535 0.174 0 "0" "IL7R"
"S100A10" 0 1.17616662422163 0.862 0.744 0 "0" "S100A10"
"RPL13A" 0 0.912939845337284 0.975 0.963 0 "0" "RPL13A"
"RPL37A" 0 0.847103605507059 0.966 0.95 0 "0" "RPL37A"
"RPL34" 0 0.831222961230738 0.986 0.981 0 "0" "RPL34"
"RPLP2" 0 0.769921636170592 0.98 0.975 0 "0" "RPLP2"
"RPL21" 0 0.751851942987587 0.978 0.979 0 "0" "RPL21"
"RPS18" 0 0.746543889062445 0.995 0.995 0 "0" "RPS18"
"RPL10" 0 0.736749946702683 0.997 0.998 0 "0" "RPL10"
"RPS4X" 0 0.731995564858956 0.985 0.986 0 "0" "RPS4X"
"RPS25" 0 0.724859410927258 0.979 0.975 0 "0" "RPS25"
"RPL36" 0 0.719636523304663 0.974 0.964 0 "0" "RPL36"
"RPL13" 0 0.698610880494294 0.996 0.997 0 "0" "RPL13"
"RPL32" 0 0.671572095212214 0.991 0.991 0 "0" "RPL32"
"RPL35A" 0 0.671223338261096 0.978 0.975 0 "0" "RPL35A"
"RPS27" 0 0.660374018066599 0.993 0.991 0 "0" "RPS27"
"RPS5" 0 0.629262814045332 0.953 0.948 0 "0" "RPS5"
"RPS14" 0 0.624467569450188 0.99 0.99 0 "0" "RPS14"
"RPL35" 0 0.623100789495275 0.966 0.954 0 "0" "RPL35"
"RPS29" 0 0.617148940328442 0.978 0.975 0 "0" "RPS29"
"RPS8" 0 0.616003202902097 0.984 0.982 0 "0" "RPS8"
"RPL11" 0 0.614672836617397 0.99 0.992 0 "0" "RPL11"
"RPS28" 0 0.613969480625504 0.982 0.978 0 "0" "RPS28"
"RPL39" 0 0.613417254836769 0.986 0.982 0 "0" "RPL39"
"RPL37" 0 0.610758200188513 0.98 0.971 0 "0" "RPL37"
"RPS16" 0 0.568936038462629 0.976 0.978 0 "0" "RPS16"
"RPS27A" 0 0.552619459357658 0.994 0.993 0 "0" "RPS27A"
"RPS19" 0 0.550592825844773 0.99 0.991 0 "0" "RPS19"
"RPS15" 0 0.540593194278352 0.989 0.988 0 "0" "RPS15"
"RPL41" 0 0.535369768810603 0.996 0.997 0 "0" "RPL41"
"RPL18A" 0 0.485482629697906 0.986 0.985 0 "0" "RPL18A"
"RPLP1" 0 0.434527819542717 0.997 0.999 0 "0" "RPLP1"
"RPL31" 7.58971799415592e-308 1.23909680502532 0.831 0.729 1.77591811345254e-303 "0" "RPL31"
"RPL38" 8.91475831497693e-304 0.670226691035342 0.911 0.866 2.08596429812145e-299 "0" "RPL38"
"RPL27A" 4.23894787178238e-301 0.616104895243106 0.97 0.956 9.91871412518359e-297 "0" "RPL27A"
"RPS6" 8.8904900844665e-291 0.604404041937015 0.968 0.975 2.08028577486432e-286 "0" "RPS6"
"RPS12" 4.01492370934029e-279 0.551845296192341 0.99 0.991 9.39451998748534e-275 "0" "RPS12"
"RPL28" 3.51024191822589e-271 0.378721968249133 0.995 0.995 8.21361506445676e-267 "0" "RPL28"
"RPL8" 1.56818876393305e-269 0.461745287255897 0.976 0.977 3.66940488872695e-265 "0" "RPL8"
"RPS3A" 3.35392939464518e-264 0.537705380567637 0.982 0.985 7.84785939053026e-260 "0" "RPS3A"
"RPS13" 1.32373219258932e-260 0.523207034075666 0.966 0.974 3.09740095743974e-256 "0" "RPS13"
"LTB" 5.00153779277456e-249 0.97566186238091 0.632 0.368 1.17030982813132e-244 "0" "LTB"
"RPL7" 2.36308240739136e-246 0.707530598183158 0.92 0.898 5.52937652505504e-242 "0" "RPL7"
"RPS20" 6.37962111085902e-241 0.772377773270291 0.884 0.825 1.4927675437299e-236 "0" "RPS20"
