"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"C1QB" 0 3.78918694971457 0.889 0.188 0 "0" "C1QB"
"C1QA" 0 3.76365299700483 0.92 0.222 0 "0" "C1QA"
"CCL3" 0 3.76211607376044 0.808 0.208 0 "0" "CCL3"
"CCL3L1" 0 3.41279400841878 0.698 0.148 0 "0" "CCL3L1"
"C1QC" 0 3.38103218317019 0.88 0.126 0 "0" "C1QC"
"APOC1" 0 3.31930633937469 0.777 0.219 0 "0" "APOC1"
"APOE" 0 3.30057285617746 0.905 0.469 0 "0" "APOE"
"RNASE1" 0 3.22549454616248 0.837 0.237 0 "0" "RNASE1"
"CXCL8" 0 3.21399855793817 0.62 0.13 0 "0" "CXCL8"
"CCL4L2" 0 3.18924220286355 0.62 0.141 0 "0" "CCL4L2"
"CD14" 0 3.14096544683085 0.883 0.142 0 "0" "CD14"
"CD74" 0 3.09978602157892 0.973 0.469 0 "0" "CD74"
"CCL4" 0 3.08934647207461 0.695 0.188 0 "0" "CCL4"
"HLA-DRA" 0 2.98346038715073 0.966 0.418 0 "0" "HLA-DRA"
"IL1B" 0 2.97508172677534 0.507 0.075 0 "0" "IL1B"
"MS4A7" 0 2.96539297765014 0.786 0.082 0 "0" "MS4A7"
"FTL" 0 2.89229467869926 1 0.993 0 "0" "FTL"
"CTSB" 0 2.8799118529519 0.935 0.511 0 "0" "CTSB"
"HLA-DPA1" 0 2.76675882929553 0.914 0.309 0 "0" "HLA-DPA1"
"TYROBP" 0 2.74229098834647 0.973 0.355 0 "0" "TYROBP"
"CXCL3" 0 2.73543212516966 0.552 0.129 0 "0" "CXCL3"
"CXCL2" 0 2.69561188020261 0.606 0.121 0 "0" "CXCL2"
"HLA-DRB1" 0 2.66750744608398 0.936 0.393 0 "0" "HLA-DRB1"
"AIF1" 0 2.65309791961406 0.919 0.229 0 "0" "AIF1"
"LGMN" 0 2.62852727920076 0.789 0.307 0 "0" "LGMN"
"SELENOP" 0 2.57516306919973 0.799 0.507 0 "0" "SELENOP"
"HLA-DPB1" 0 2.53614945751793 0.893 0.316 0 "0" "HLA-DPB1"
"STAB1" 0 2.53170608931181 0.716 0.081 0 "0" "STAB1"
"FCGR2A" 0 2.52348447066503 0.778 0.096 0 "0" "FCGR2A"
"IER3" 0 2.48062832753725 0.789 0.393 0 "0" "IER3"
"FCER1G" 0 2.46721727710285 0.937 0.275 0 "0" "FCER1G"
"HMOX1" 0 2.4560860438665 0.66 0.151 0 "0" "HMOX1"
"MS4A6A" 0 2.45203740949237 0.776 0.096 0 "0" "MS4A6A"
"SOD2" 0 2.36721457550275 0.677 0.202 0 "0" "SOD2"
"FOLR2" 0 2.35268937747878 0.681 0.098 0 "0" "FOLR2"
"PSAP" 0 2.32220810683173 0.964 0.648 0 "0" "PSAP"
"CTSD" 0 2.29316125666903 0.919 0.606 0 "0" "CTSD"
"CTSL" 0 2.25944562078281 0.76 0.334 0 "0" "CTSL"
"DAB2" 0 2.23076579674916 0.75 0.224 0 "0" "DAB2"
"SRGN" 0 2.2183363030355 0.885 0.359 0 "0" "SRGN"
"SLC40A1" 0 2.20113014209245 0.54 0.112 0 "0" "SLC40A1"
"CD163" 0 2.17733756218332 0.66 0.049 0 "0" "CD163"
"CCL2" 0 2.15120895980505 0.438 0.105 0 "0" "CCL2"
"MSR1" 0 2.14241238508706 0.691 0.054 0 "0" "MSR1"
"CTSS" 0 2.13669920298937 0.825 0.191 0 "0" "CTSS"
"MS4A4A" 0 2.13110585664875 0.669 0.06 0 "0" "MS4A4A"
"HLA-DMA" 0 2.1163801296841 0.793 0.185 0 "0" "HLA-DMA"
"TREM2" 0 2.10003381186374 0.643 0.054 0 "0" "TREM2"
"CD83" 0 2.09353601498998 0.629 0.13 0 "0" "CD83"
"SAT1" 0 2.0398580230142 0.965 0.653 0 "0" "SAT1"
"GPNMB" 0 2.02934124072894 0.688 0.212 0 "0" "GPNMB"
"SGK1" 0 2.01969799656045 0.683 0.169 0 "0" "SGK1"
"FCGR3A" 0 1.99900981523116 0.589 0.056 0 "0" "FCGR3A"
"GLUL" 0 1.99853009500406 0.768 0.31 0 "0" "GLUL"
"HLA-DQB1" 0 1.98939921483967 0.768 0.201 0 "0" "HLA-DQB1"
"FCGRT" 0 1.98266780388856 0.872 0.493 0 "0" "FCGRT"
"GPR183" 0 1.97236777143605 0.608 0.159 0 "0" "GPR183"
"NFKBIA" 0 1.9659458523358 0.826 0.521 0 "0" "NFKBIA"
"CTSZ" 0 1.94076174602991 0.833 0.412 0 "0" "CTSZ"
"HLA-DQA1" 0 1.93170944368061 0.636 0.138 0 "0" "HLA-DQA1"
"LAPTM5" 0 1.9293023434251 0.905 0.337 0 "0" "LAPTM5"
"FCGBP" 0 1.92571031897651 0.356 0.041 0 "0" "FCGBP"
"NAMPT" 0 1.92189809301285 0.653 0.213 0 "0" "NAMPT"
"FTH1" 0 1.89795774195405 0.998 0.974 0 "0" "FTH1"
"PLIN2" 0 1.89687004504407 0.566 0.221 0 "0" "PLIN2"
"NR4A2" 0 1.87976693868301 0.602 0.227 0 "0" "NR4A2"
"CYBB" 0 1.87229826214531 0.622 0.065 0 "0" "CYBB"
"PLAUR" 0 1.8639343323388 0.652 0.226 0 "0" "PLAUR"
"MRC1" 0 1.8490738188125 0.529 0.039 0 "0" "MRC1"
"IGSF6" 0 1.77419926055652 0.572 0.067 0 "0" "IGSF6"
"LIPA" 0 1.76990242476924 0.61 0.108 0 "0" "LIPA"
"VSIG4" 0 1.76121223679275 0.566 0.049 0 "0" "VSIG4"
"RNASET2" 0 1.74666116158524 0.773 0.277 0 "0" "RNASET2"
"CD68" 0 1.74505284220717 0.835 0.241 0 "0" "CD68"
"NR4A3" 0 1.74162537752683 0.381 0.06 0 "0" "NR4A3"
"SLCO2B1" 0 1.74118818109754 0.585 0.04 0 "0" "SLCO2B1"
"TMEM176B" 0 1.73742144311818 0.625 0.121 0 "0" "TMEM176B"
"TNF" 0 1.71418327107777 0.324 0.042 0 "0" "TNF"
"HLA-DMB" 0 1.70679399183108 0.632 0.096 0 "0" "HLA-DMB"
"C5AR1" 0 1.70438963918656 0.555 0.043 0 "0" "C5AR1"
"ITGB2" 0 1.6913639789347 0.755 0.199 0 "0" "ITGB2"
"RGS1" 0 1.68373451752303 0.694 0.178 0 "0" "RGS1"
"G0S2" 0 1.67596436317702 0.306 0.091 0 "0" "G0S2"
"MAF" 0 1.6679270147274 0.605 0.192 0 "0" "MAF"
"PLEK" 0 1.65123503883264 0.603 0.115 0 "0" "PLEK"
"ADAP2" 0 1.64927761016101 0.603 0.057 0 "0" "ADAP2"
"GPR34" 0 1.62775167759806 0.551 0.041 0 "0" "GPR34"
"VAMP8" 0 1.59557066913563 0.817 0.257 0 "0" "VAMP8"
"CAPG" 0 1.59462532753089 0.758 0.3 0 "0" "CAPG"
"ASAH1" 0 1.58880692441386 0.743 0.348 0 "0" "ASAH1"
"IL1RN" 0 1.56798107539999 0.328 0.029 0 "0" "IL1RN"
"C15orf48" 0 1.5608087128877 0.366 0.067 0 "0" "C15orf48"
"TYMP" 0 1.54254923737119 0.784 0.374 0 "0" "TYMP"
"CSF1R" 0 1.53861196066851 0.671 0.147 0 "0" "CSF1R"
"NPC2" 0 1.53125076686134 0.95 0.595 0 "0" "NPC2"
"CREG1" 0 1.52143457547726 0.659 0.216 0 "0" "CREG1"
"PLD3" 0 1.50976122694059 0.766 0.436 0 "0" "PLD3"
"CPVL" 0 1.5015883616081 0.62 0.153 0 "0" "CPVL"
"TNFAIP3" 0 1.49677946118192 0.5 0.185 0 "0" "TNFAIP3"
"PLTP" 0 1.49492320954679 0.593 0.196 0 "0" "PLTP"
"FPR3" 0 1.49340467346218 0.544 0.037 0 "0" "FPR3"
"LY96" 0 1.47986453171426 0.664 0.18 0 "0" "LY96"
"ARL4C" 0 1.47667937249629 0.587 0.221 0 "0" "ARL4C"
"PLAU" 0 1.47069275649159 0.469 0.111 0 "0" "PLAU"
"KLF6" 0 1.46060368999158 0.792 0.504 0 "0" "KLF6"
"SLC16A10" 0 1.45941465383165 0.369 0.037 0 "0" "SLC16A10"
"F13A1" 0 1.45853041362215 0.379 0.049 0 "0" "F13A1"
"MPEG1" 0 1.45758703007785 0.531 0.049 0 "0" "MPEG1"
"FGL2" 0 1.43731746577644 0.526 0.072 0 "0" "FGL2"
"FCGR1A" 0 1.43588319128826 0.482 0.045 0 "0" "FCGR1A"
"FOSB" 0 1.42974113512875 0.687 0.397 0 "0" "FOSB"
"CXCL16" 0 1.42740521533529 0.569 0.115 0 "0" "CXCL16"
"C3AR1" 0 1.42689947740313 0.543 0.048 0 "0" "C3AR1"
"C1orf162" 0 1.42629192809467 0.573 0.074 0 "0" "C1orf162"
"CEBPB" 0 1.42122146429496 0.669 0.378 0 "0" "CEBPB"
"ICAM1" 0 1.39750061830598 0.45 0.109 0 "0" "ICAM1"
"ZFP36" 0 1.3916794743079 0.708 0.402 0 "0" "ZFP36"
"CYBA" 0 1.37831350627808 0.951 0.656 0 "0" "CYBA"
"ALOX5AP" 0 1.35965697207214 0.547 0.151 0 "0" "ALOX5AP"
"DUSP1" 0 1.34633597715048 0.853 0.611 0 "0" "DUSP1"
"HBEGF" 0 1.34552357749039 0.395 0.078 0 "0" "HBEGF"
"PNRC1" 0 1.34320353404515 0.709 0.451 0 "0" "PNRC1"
"LST1" 0 1.33331720593478 0.628 0.116 0 "0" "LST1"
"ARHGAP18" 0 1.3319464041604 0.605 0.145 0 "0" "ARHGAP18"
"LITAF" 0 1.32960311050226 0.666 0.317 0 "0" "LITAF"
"SDCBP" 0 1.32435164090406 0.783 0.475 0 "0" "SDCBP"
"IL10" 0 1.32286996321849 0.279 0.018 0 "0" "IL10"
"LYZ" 0 1.31632844976579 0.728 0.176 0 "0" "LYZ"
"CD4" 0 1.30192381317403 0.57 0.118 0 "0" "CD4"
"ZFP36L1" 0 1.2928170491704 0.818 0.568 0 "0" "ZFP36L1"
"CD93" 0 1.29016510738388 0.476 0.069 0 "0" "CD93"
"BLVRB" 0 1.28788672204311 0.717 0.383 0 "0" "BLVRB"
"HLA-DRB5" 0 1.27777685842707 0.293 0.069 0 "0" "HLA-DRB5"
"ABCA1" 0 1.27423195696176 0.472 0.087 0 "0" "ABCA1"
"RNF130" 0 1.26923167615657 0.627 0.206 0 "0" "RNF130"
"KDM6B" 0 1.26885883724013 0.44 0.141 0 "0" "KDM6B"
"NINJ1" 0 1.26826260306979 0.632 0.24 0 "0" "NINJ1"
"MAFB" 0 1.2681021265123 0.702 0.339 0 "0" "MAFB"
"CTSH" 0 1.26747168625932 0.61 0.185 0 "0" "CTSH"
"MARCKS" 0 1.26436173657534 0.845 0.556 0 "0" "MARCKS"
